cabang,latitude_cabang,longitude_cabang,lama_beroperasi_bulan,Omset Jan25,Omset Jan26,Growth,Persen Growth,Kategori_By_StdDev,Kategori_Percentile,Kategori_Atasan,Kategori_ZScore,Kategori_IQR,Kategori_Final
Store-0001,-5.46372877,112.4766895,39,55543106,98806869,43263763,77.89,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0002,-6.416196452,109.3000137,57,109025764,155606072,46580307,42.72,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0003,-5.237267193,106.0335215,81,63761600,49742835,-14018766,-21.99,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0004,-3.924255215,100.5970857,34,50000000,87251257,37251257,74.5,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0005,-6.560030062,112.5729564,41,63627564,118108400,54480836,85.62,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0006,-6.560005435,103.3716688,93,182536974,449191129,266654155,146.08,Sedang,Atas,Sangat Baik,Normal,Extreme High,Outstanding
Store-0007,-3.839980777,102.7321031,73,138743162,104140949,-34602214,-24.94,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0008,-5.057647906,109.4020261,13,63262139,82060662,18798522,29.72,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0009,-6.913011579,112.944981,70,116205364,42666022,-73539343,-63.28,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0010,-5.394959935,110.306282,6,52698407,74898120,22199713,42.13,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0011,-6.903926539,108.2553728,84,50000000,49035994,-964006,-1.93,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0012,-6.90739463,108.3324859,52,50000000,98468916,48468916,96.94,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0013,-5.845856593,108.9791389,117,167707720,149285700,-18422020,-10.98,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0014,-9.078720367,108.7429215,3,55706319,29208315,-26498004,-47.57,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0015,-8.796176749,107.5485786,81,56738844,57391029,652185,1.15,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0016,-7.052231294,107.1061028,63,54849141,22477446,-32371695,-59.02,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0017,-7.728046681,106.6891172,49,205813701,308811065,102997364,50.04,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0018,-5.737429001,104.9606885,76,174175740,65135941,-109039799,-62.6,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0019,-7.570836113,106.1439123,112,248578224,301123443,52545219,21.14,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0020,-8.327255552,102.613208,47,59683901,22015915,-37667986,-63.11,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0021,-4.010326847,106.5997509,109,78403152,84038840,5635687,7.19,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0022,-6.547464451,104.3741222,55,50000000,76200231,26200231,52.4,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
