cabang,Omset Jan25,Omset Mei26,Growth,latitude_cabang,longitude_cabang,Persen Growth,Kategori,lama_buka_bulan,Kategori_By_StdDev,Kategori_By_Percentile,Kategori_Atasan,Kategori_Hibrida,Kategori_Baru,Z_Score,Kategori_ZScore,Kategori_IQR
GGP031,2304800000,3322750000,1017950000,-6.150095,106.817359,0.4416652204,Sangat Baik,104,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.09979870099364148,Sedang,Sedang
MGW001,1970100000,3302900000,1332800000,-8.741153,115.178653,0.6765138825,Sangat Baik,104,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.05413228800046668,Sedang,Sedang
DPR001,2672300000,3207300000,535000000,-8.68093,115.201707,0.2002020731,Baik,104,Sedang,Sedang,Baik,Sedang,Sedang,-0.14675130318704185,Sedang,Sedang
GGP033,2025350000,2862550000,837200000,-6.16589,106.79969,0.4133606537,Sangat Baik,105,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.10530253491356681,Sedang,Sedang
KYB003,2273900000,2847050000,573150000,-6.207533,106.790792,0.2520559391,Baik,129,Sedang,Sedang,Baik,Sedang,Sedang,-0.13666829892857837,Sedang,Sedang
KYB005,2345850000,2656750000,310900000,-6.217174,106.8445,0.1325319181,Baik,127,Sedang,Sedang,Baik,Sedang,Sedang,-0.15990979094639005,Sedang,Sedang
KYB009,2637850000,2578500000,-59350000,-6.262134,106.796751,-0.02249938397,Kurang Baik,123,Sedang,Rendah,Kurang Baik,Rendah,Rendah,-0.19005568747350612,Sedang,Rendah
DPR003,1723450000,2537200000,813750000,-8.694612,115.218724,0.4721633932,Sangat Baik,58,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.09386831952087425,Sedang,Sedang
GGP001,1852850000,2360150000,507300000,-6.187187,106.807642,0.2737944248,Baik,125,Sedang,Sedang,Baik,Sedang,Sedang,-0.13244124199350535,Sedang,Sedang
CKR010,1690800000,2287650000,596850000,-6.378256,107.11203,0.3529985806,Sangat Baik,78,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.11703996332665721,Sedang,Sedang
TNA005,1687550000,2082100000,394550000,-6.187989,106.863919,0.23380048,Baik,124,Sedang,Sedang,Baik,Sedang,Sedang,-0.14021807999688882,Sedang,Sedang
DPR007,1200500000,1990000000,789500000,-8.681106,115.201307,0.6576426489,Sangat Baik,95,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.057801806657981215,Sedang,Sedang
BDG002,1177250000,1981250000,804000000,-6.931214,107.641496,0.6829475472,Sangat Baik,55,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.05288125941625995,Sedang,Sedang
BDG016,618250000,1959750000,1341500000,-6.927786,107.60865,2.169834209,Sangat Baik,25,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,0.2362444258852354,Sedang,Extreme High
GGP016,1391800000,1882650000,490850000,-6.202146,106.769048,0.3526727978,Sangat Baik,72,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.11710331191786415,Sedang,Sedang
TNA007,1095550000,1788200000,692650000,-6.158348,106.86769,0.6322395144,Sangat Baik,114,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.06274145596671009,Sedang,Sedang
TNG025,1721500000,1782950000,61450000,-6.207352,106.605454,0.03569561429,Baik,104,Sedang,Sedang,Baik,Rendah,Rendah,-0.17873964759951,Sedang,Sedang
CKG020,1350400000,1762700000,412300000,-6.333009,106.892813,0.3053169431,Baik,104,Sedang,Sedang,Baik,Sedang,Sedang,-0.12631167614288213,Sedang,Sedang
CKG016,1484850000,1746200000,261350000,-6.210453,106.938811,0.1760110449,Baik,121,Sedang,Sedang,Baik,Sedang,Sedang,-0.15145525795788206,Sedang,Sedang
KWG017,1371200000,1663150000,291950000,-6.371838,107.386406,0.2129156943,Baik,56,Sedang,Sedang,Baik,Sedang,Sedang,-0.14427913463744726,Sedang,Sedang
CKR023,1420250000,1660300000,240050000,-6.169578,107.17808,0.1690195388,Baik,50,Sedang,Sedang,Baik,Sedang,Sedang,-0.15281475901763666,Sedang,Sedang
GGP009,1153250000,1649700000,496450000,-6.206154,106.783131,0.4304790809,Sangat Baik,106,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.10197385013708753,Sedang,Sedang
TNA014,1172000000,1644250000,472250000,-6.147867,106.830666,0.402943686,Sangat Baik,104,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.10732811830361481,Sedang,Sedang
BDG010,830550000,1637400000,806850000,-6.904581,107.643997,0.9714646921,Sangat Baik,42,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,0.003221010772551384,Sedang,Tinggi
CKG021,1138600000,1635950000,497350000,-6.351711,106.88141,0.4368083611,Sangat Baik,103,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.10074311915919654,Sedang,Sedang
DPK004,1718300000,1635800000,-82500000,-6.354991,106.843178,-0.04801257056,Kurang Baik,127,Sedang,Rendah,Kurang Baik,Rendah,Rendah,-0.19501673645361386,Sedang,Rendah
TNG030,1214350000,1633450000,419100000,-6.18504,106.65042,0.3451229053,Baik,102,Sedang,Sedang,Baik,Sedang,Sedang,-0.118571391428627,Sedang,Sedang
CKR020,810900000,1599700000,788800000,-6.294561,107.148093,0.9727463312,Sangat Baik,56,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,0.003470225990238593,Sedang,Tinggi
SRG004,1270450000,1587550000,317100000,-6.210917,106.358306,0.2495965996,Baik,58,Sedang,Sedang,Baik,Sedang,Sedang,-0.1371465184436191,Sedang,Sedang
GGP007,1560300000,1576450000,16150000,-6.165685,106.784069,0.01035057361,Baik,124,Sedang,Rendah,Baik,Rendah,Rendah,-0.18366800054251659,Sedang,Rendah
GGP008,1340550000,1569150000,228600000,-6.139949,106.691741,0.1705270225,Baik,110,Sedang,Sedang,Baik,Sedang,Sedang,-0.15252162823030704,Sedang,Sedang
CKG019,1365850000,1564800000,198950000,-6.220937,106.917466,0.1456602116,Baik,104,Sedang,Sedang,Baik,Sedang,Sedang,-0.1573569892080036,Sedang,Sedang
KYB010,1491150000,1564500000,73350000,-6.280497,106.845018,0.04919022231,Baik,122,Sedang,Sedang,Baik,Rendah,Rendah,-0.176115615861318,Sedang,Sedang
CKG002,1487150000,1530550000,43400000,-6.285568,106.855357,0.02918333726,Baik,129,Sedang,Rendah,Baik,Rendah,Rendah,-0.18000596238162833,Sedang,Rendah
KYB019,1464250000,1529550000,65300000,-6.265934,106.775281,0.04459620966,Baik,64,Sedang,Sedang,Baik,Rendah,Rendah,-0.17700892339432595,Sedang,Sedang
